ID_producto,Descripcion,IMEI,TALLA
7625da53,Vestido April Blanco Negro Rojo,0140BNR,M
,,,
d9dac35e,Vestido Diana oscuro,0148OS,S
c356541d,Vestido Diana oscuro,0148OS,S
cf8c5925,Vestido Lidia oscuro,0149OS,S
8b412884,Vestido Diana Intermedio,0148IN,S
d310d85d,Vestido Diana Intermedio,0148IN,S
cc50de49,Vestido Molly Intermedio,0101IN,S
942dedf1,Vestido Victoria Camel,0108CA,S
85f84d91,Vestido Ruth Guindo,0142GU,S
89d2ec76,Vestido April Blanco con Rojo,0140BR,S
7b1a5b9c,Vestido April Blanco con Rojo,0140BR,S
48bd4b5a,Vestido April Blanco con Rojo,0140BR,S
f8f80e4f,Maxivestido Rojo con Negro,0706RCN,S
e4fbc77c,Maxivestido Rojo con Negro,0706RCN,S
1cef0b1f,Maxivestido Blanco con Azul,0705BA,S
194eb75b,Maxivestido,0706BLI,S
eeceafb4,Maxivestido,0706BLI,S
96204ad8,Maxivestido,0706BLI,S
46ce40bf,Maxivestido,0706BLI,S
a77e457c,Maxivestido Azul Plomo Z,0705APZ,S
8155f31e,Maxivestido Negro con Morado,0706NMO,S
83748b64,Maxivestido Negro con Morado,0706NMO,S
bee54278,Maxivestido Negro con Morado,0706NMO,S
d9895b2f,Maxivestido Negro con Morado,0706NMO,S
88ca3572,Maxivestido Negro con Morado,0706NMO,S
5c89777b,Maxivestido Negro con Morado,0706NMO,S
475e7ea8,Maxivestido Negro con Morado,0706NMO,S
6b5e9e20,Maxivestido Negro con Morado,0706NMO,S
fd600c00,Maxivestido Negro con Morado,0706NMO,S
5bea1f91,Maxivestido Negro con Morado,0706NMO,S
5c753ca6,Maxivestido Negro con Morado,0706NMO,S
7204b555,Maxivestido Negro con Morado,0706NMO,S
76c538b6,Maxivestido Negro con Morado,0706NMO,S
cd11ae4b,Maxivestido Negro con Morado,0706NMO,S
5e7811dd,Maxivestido Negro con Morado,0706NMO,S
b9ae2e91,Maxivestido Negro con Morado,0706NMO,S
8cfe72d9,Maxivestido Negro con Morado,0706NMO,S
caea6b9d,Maxivestido Rojo con Guinda,0705RG,S
df9090ca,Maxivestido Rojo con Guinda,0705RG,S
4a754a1c,Maxivestido Rojo con Guinda,0705RG,S
9b4c50d6,Maxivestido Rojo con Guinda,0705RG,S
338f6fc8,Maxivestido Rojo con Guinda,0705RG,S
cba84359,Maxivestido Rojo con Guinda,0705RG,S
a7e4f181,Maxivestido Rojo con Guinda,0705RG,S
467a5aa8,Maxivestido Rojo con Guinda,0705RG,S
a719a5fa,Maxivestido Rojo con Guinda,0705RG,S
38f74863,Maxivestido Rojo con Guinda,0705RG,S
2b0dd6f7,Maxivestido Rojo con Guinda,0705RG,S
35840650,Maxivestido Rojo con Guinda,0705RG,S
971d63d1,Maxivestido Rojo con Guinda,0705RG,S
6e5bd35b,Maxivestido Rojo con Guinda,0705RG,S
451696f1,Maxivestido Rojo con Guinda,0705RG,S
446ca39f,Maxivestido Rojo con Guinda,0705RG,S
e9d48f5c,Maxivestido Rojo con Guinda,0705RG,S
f7e496a7,Maxivestido Rojo con Guinda,0705RG,S
8f25877b,Maxivestido Rojo con Guinda,0705RG,S
54b3be5f,Maxivestido Rojo con Guinda,0705RG,S
61624d16,APRIL NARANJA CON BLANCO,0140NAB,M
da93de24,APRIL NARANJA CON BLANCO,0140NAB,M
1f25807c,POLERA RANGLAN MORADO,1505MO,S
3b1d5c5d,POLERA RANGLAN MORADO,1505MO,S
2f796a28,POLERA RANGLAN MORADO,1505MO,S
676ad3d3,POLERA RANGLAN VERDE,1505VN,XS
5ba67a78,POLERA RANGLAN VERDE,1505VN,XS
bf47a8be,POLERA RANGLAN VERDE,1505VN,S
e75b8cdd,POLERA RANGLAN GUINDO CON NEGRO,1505GN,XS
1aad9d83,POLERA RANGLAN GUINDO CON NEGRO,1505GN,XS
d42f0d3f,POLERA RANGLAN GUINDO CON NEGRO,1505GN,S
4a39d38b,POLERA RANGLAN CAMELL,1505CA,S
bb9e2f92,CASACA MORADO,1503MO,M
c3fcee6e,CASACA MORADO,1503MO,XS
9395f829,CASACA MORADO,1503MO,XS
48319497,CASACA GUINDO,1503GU,XS
1cbcda49,CASACA GUINDO,1503GU,XS
cfa56987,Capucha Polera Morado,1502MO,XS
,,,
